"n", "b", "p", "p*", "p*/p", "duration"
5000, 4, 0.14586594, 0.14703333, 1.00800318, 30
10000, 4, 0.14586594, 0.14646667, 1.00411834, 62
15000, 4, 0.14586594, 0.14635072, 1.00332348, 96
20000, 4, 0.14586594, 0.14717246, 1.00895701, 134
25000, 4, 0.14586594, 0.14677681, 1.00624457, 167
30000, 4, 0.14586594, 0.14671884, 1.00584714, 197
35000, 4, 0.14586594, 0.14705652, 1.00816215, 226
40000, 4, 0.14586594, 0.14686232, 1.00683077, 257
45000, 4, 0.14586594, 0.14658116, 1.00490325, 294
50000, 4, 0.14586594, 0.14689275, 1.00703942, 331
5000, 8, 0.02127687, 0.02162745, 1.01647676, 34
10000, 8, 0.02127687, 0.02147106, 1.00912685, 69
15000, 8, 0.02127687, 0.02152979, 1.01188682, 104
20000, 8, 0.02127687, 0.02140128, 1.00584689, 142
25000, 8, 0.02127687, 0.02155255, 1.01295680, 180
30000, 8, 0.02127687, 0.02147596, 1.00935685, 219
35000, 8, 0.02127687, 0.02148553, 1.00980684, 259
40000, 8, 0.02127687, 0.02141234, 1.00636689, 310
45000, 8, 0.02127687, 0.02137809, 1.00475691, 349
50000, 8, 0.02127687, 0.02136787, 1.00427691, 419
5000, 12, 0.00310357, 0.00314719, 1.01405508, 53
10000, 12, 0.00310357, 0.00313162, 1.00903649, 92
15000, 12, 0.00310357, 0.00312104, 1.00562745, 147
20000, 12, 0.00310357, 0.00313093, 1.00881655, 187
25000, 12, 0.00310357, 0.00313261, 1.00935640, 241
30000, 12, 0.00310357, 0.00312935, 1.00830670, 278
35000, 12, 0.00310357, 0.00312249, 1.00609732, 326
40000, 12, 0.00310357, 0.00311117, 1.00244834, 378
45000, 12, 0.00310357, 0.00312091, 1.00558746, 427
50000, 12, 0.00310357, 0.00311325, 1.00311815, 478
5000, 16, 0.00045271, 0.00045674, 1.00890371, 177
10000, 16, 0.00045271, 0.00045810, 1.01191363, 239
15000, 16, 0.00045271, 0.00045719, 1.00990368, 305
20000, 16, 0.00045271, 0.00045691, 1.00928370, 350
25000, 16, 0.00045271, 0.00045746, 1.01051367, 379
30000, 16, 0.00045271, 0.00045522, 1.00556380, 430
35000, 16, 0.00045271, 0.00045301, 1.00068392, 506
40000, 16, 0.00045271, 0.00045573, 1.00668377, 579
45000, 16, 0.00045271, 0.00045309, 1.00085392, 605
50000, 16, 0.00045271, 0.00045347, 1.00169390, 633
